prompt,price,firstl,midl,lastl
" This House has an area of 9000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",6300000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13769531  0.02734375  0.078125   ...  0.12304688 -0.09619141
  -0.02172852]]","[[ 3.359375   -1.0078125   2.265625   ...  2.          0.40039062
   0.15136719]]"
" This House has an area of 6400 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",6300000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14648438  0.0456543   0.07421875 ...  0.10253906 -0.08007812
  -0.02246094]]","[[ 3.9375     -1.0703125   2.125      ...  2.578125    0.61328125
  -0.15136719]]"
" This House has an area of 6600 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6293000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14257812  0.04833984  0.05566406 ...  0.11621094 -0.07421875
  -0.03112793]]","[[ 3.796875   -0.82421875  1.8671875  ...  2.546875    0.9453125
   0.06030273]]"
" This House has an area of 6000 sqft. It has 4 bedrooms and 1 bathrooms along with a guest room. It is a 3 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6265000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14648438  0.04150391  0.06982422 ...  0.11914062 -0.08984375
  -0.03466797]]","[[ 3.90625    -0.9453125   2.1875     ...  2.6875      0.65625
   0.04858398]]"
" This House has an area of 6600 sqft. It has 3 bedrooms and 2 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6230000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13378906  0.02197266  0.07128906 ...  0.12060547 -0.08300781
  -0.02929688]]","[[ 3.5625     -1.296875    1.875      ...  2.640625    0.83203125
  -0.03613281]]"
" This House has an area of 5500 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is unfurnished and comes with facilities like ,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",6230000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13378906  0.03759766  0.06640625 ...  0.12695312 -0.09423828
  -0.03759766]]","[[ 3.71875    -0.8046875   1.9375     ...  2.421875    0.8671875
   0.07861328]]"
" This House has an area of 5500 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",6195000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14550781  0.07177734  0.0546875  ...  0.12207031 -0.04931641
  -0.01245117]]","[[ 4.5        -0.05004883  2.375      ...  2.3125      0.703125
   0.15429688]]"
" This House has an area of 6350 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",6195000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14160156  0.07324219  0.04150391 ...  0.10498047 -0.04785156
  -0.00915527]]",[[4.65625    0.08007812 2.296875   ... 2.203125   0.7578125  0.22851562]]
" This House has an area of 5500 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6195000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14355469  0.04638672  0.07568359 ...  0.10644531 -0.08984375
  -0.02099609]]","[[ 3.78125    -0.69921875  2.25       ...  2.25        0.52734375
   0.1171875 ]]"
" This House has an area of 4500 sqft. It has 3 bedrooms and 1 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",6160000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.0703125   0.04443359 ...  0.12158203 -0.06933594
  -0.0111084 ]]",[[4.28125    0.09716797 2.1875     ... 2.421875   0.75390625 0.11816406]]
" This House has an area of 5450 sqft. It has 4 bedrooms and 2 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6160000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12988281  0.02294922  0.08789062 ...  0.1328125  -0.07910156
  -0.03222656]]","[[ 3.484375   -1.59375     1.765625   ...  2.890625    1.265625
  -0.33398438]]"
" This House has an area of 6420 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6125000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12792969  0.01904297  0.07470703 ...  0.13085938 -0.08886719
  -0.04589844]]","[[ 3.609375   -1.5546875   1.734375   ...  2.75        0.890625
  -0.19921875]]"
" This House has an area of 3240 sqft. It has 4 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",6107500,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12695312  0.06542969  0.0612793  ...  0.1171875  -0.06445312
  -0.02368164]]","[[ 4.3125     -0.33789062  2.203125   ...  2.5         0.8515625
  -0.02478027]]"
" This House has an area of 6615 sqft. It has 4 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like hot water heating,  along with 1 parking slots. What is the price of this house?",6090000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1484375   0.07128906  0.02734375 ...  0.08984375 -0.04492188
  -0.01220703]]",[[4.6875     0.17871094 2.359375   ... 1.6796875  0.55078125 0.41210938]]
" This House has an area of 6600 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6090000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13769531  0.04467773  0.07910156 ...  0.11132812 -0.07910156
  -0.02819824]]","[[ 3.84375    -1.203125    2.109375   ...  2.578125    0.7421875
  -0.13964844]]"
" This House has an area of 8372 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",6090000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12792969  0.06738281  0.03027344 ...  0.10302734 -0.06542969
  -0.01171875]]","[[ 4.46875    -0.02282715  2.21875    ...  2.046875    0.59375
   0.203125  ]]"
" This House has an area of 4300 sqft. It has 6 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like ,  along with 0 parking slots. What is the price of this house?",6083000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13867188  0.05517578  0.06176758 ...  0.13378906 -0.05908203
  -0.03369141]]","[[ 4.28125    -0.02575684  1.9296875  ...  2.609375    0.875
   0.0189209 ]]"
" This House has an area of 9620 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6083000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12792969  0.02246094  0.07470703 ...  0.11621094 -0.09716797
  -0.03088379]]","[[ 3.421875   -1.46875     2.015625   ...  1.8671875   0.53515625
  -0.13183594]]"
" This House has an area of 6800 sqft. It has 2 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 2 parking slots. What is the price of this house?",6020000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.140625    0.03881836  0.05371094 ...  0.11425781 -0.07226562
  -0.02514648]]","[[ 4.375      -0.00485229  2.5        ...  1.8515625   0.27734375
   0.1953125 ]]"
" This House has an area of 8000 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",6020000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14648438  0.04614258  0.07226562 ...  0.11376953 -0.07324219
  -0.015625  ]]","[[ 3.984375   -0.87109375  2.296875   ...  2.46875     0.5625
  -0.03662109]]"
" This House has an area of 6900 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",6020000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14648438  0.03808594  0.07128906 ...  0.11132812 -0.08349609
  -0.0378418 ]]","[[ 3.9375     -1.3125      1.84375    ...  2.6875      0.86328125
  -0.05395508]]"
" This House has an area of 3700 sqft. It has 4 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",5950000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14746094  0.06689453  0.05273438 ...  0.11230469 -0.05224609
  -0.00964355]]",[[4.46875    0.03173828 2.28125    ... 2.375      0.83984375 0.22265625]]
" This House has an area of 6420 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",5950000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13476562  0.02050781  0.07519531 ...  0.11621094 -0.08984375
  -0.03112793]]","[[ 3.53125    -1.59375     2.0625     ...  2.375       0.7734375
  -0.02990723]]"
" This House has an area of 7020 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",5950000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12695312  0.02001953  0.08154297 ...  0.12304688 -0.08789062
  -0.03015137]]",[[ 3.421875  -1.5546875  1.9765625 ...  2.421875   0.8515625 -0.3046875]]
" This House has an area of 6540 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",5950000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14160156  0.04833984  0.0703125  ...  0.09619141 -0.09423828
  -0.02453613]]",[[ 3.84375   -1.0546875  2.21875   ...  2.265625   0.4453125  0.       ]]
" This House has an area of 7231 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",5950000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14257812  0.04150391  0.08203125 ...  0.10839844 -0.07568359
  -0.03930664]]","[[ 3.90625    -1.5546875   1.75       ...  2.984375    1.046875
  -0.32617188]]"
" This House has an area of 6254 sqft. It has 4 bedrooms and 2 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",5950000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12597656  0.02246094  0.08105469 ...  0.12402344 -0.09375
  -0.02478027]]","[[ 3.5        -1.578125    1.9296875  ...  2.484375    0.85546875
  -0.25585938]]"
" This House has an area of 7320 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like ,  along with 0 parking slots. What is the price of this house?",5950000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13964844  0.05615234  0.05078125 ...  0.12597656 -0.0612793
  -0.02661133]]","[[ 4.25       -0.375       1.984375   ...  2.375       0.83984375
   0.04370117]]"
" This House has an area of 6525 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",5950000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.04467773  0.05102539 ...  0.12988281 -0.0625
  -0.03271484]]",[[4.34375    0.05249023 2.09375    ... 2.140625   0.58984375 0.08789062]]
" This House has an area of 15600 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",5943000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12695312  0.07519531  0.04101562 ...  0.11181641 -0.05859375
  -0.00720215]]","[[ 4.28125    -0.12011719  2.21875    ...  2.234375    0.8046875
   0.10400391]]"
" This House has an area of 7160 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",5880000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12158203  0.01757812  0.07177734 ...  0.11816406 -0.09423828
  -0.03564453]]","[[ 3.421875   -1.4375      1.8828125  ...  2.234375    0.65234375
  -0.17285156]]"
" This House has an area of 6500 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",5880000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13183594  0.07226562  0.04296875 ...  0.12158203 -0.06494141
  -0.00561523]]",[[4.28125    0.15136719 2.21875    ... 2.359375   0.7890625  0.22949219]]
" This House has an area of 5500 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",5873000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.15234375  0.05175781  0.04931641 ...  0.13183594 -0.05566406
  -0.01507568]]",[[4.65625    0.39453125 2.46875    ... 2.1875     0.6328125  0.21875   ]]
" This House has an area of 11460 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",5873000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12402344  0.05810547  0.06933594 ...  0.12011719 -0.08837891
  -0.03588867]]","[[ 3.78125    -1.140625    1.78125    ...  2.578125    1.0625
  -0.14941406]]"
" This House has an area of 4800 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 0 parking slots. What is the price of this house?",5866000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14257812  0.05664062  0.04248047 ...  0.10449219 -0.08056641
  -0.01696777]]","[[ 4.25       -0.47265625  2.375      ...  2.15625     0.6328125
   0.23339844]]"
" This House has an area of 5828 sqft. It has 4 bedrooms and 1 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 0 parking slots. What is the price of this house?",5810000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.140625    0.07568359  0.05615234 ...  0.09912109 -0.05737305
  -0.0246582 ]]","[[ 4.53125    -0.60546875  2.125      ...  2.28125     0.8359375
  -0.03051758]]"
" This House has an area of 5200 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",5810000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.06982422  0.06347656 ...  0.12158203 -0.05053711
  -0.0145874 ]]","[[ 4.21875    -0.3203125   1.984375   ...  2.46875     1.171875
  -0.06640625]]"
" This House has an area of 4800 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",5810000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.07226562  0.04321289 ...  0.11816406 -0.06542969
  -0.01184082]]","[[ 4.3125     -0.02539062  2.171875   ...  2.359375    0.8046875
   0.07421875]]"
" This House has an area of 7000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",5803000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12402344  0.02197266  0.0859375  ...  0.13085938 -0.08349609
  -0.02026367]]","[[ 3.5        -1.125       2.0625     ...  2.390625    0.70703125
  -0.16503906]]"
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",5775000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13085938  0.07470703  0.04150391 ...  0.13183594 -0.06298828
  -0.0032959 ]]",[[4.34375    0.36523438 2.265625   ... 2.40625    0.76171875 0.20507812]]
" This House has an area of 5400 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",5740000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13085938  0.06201172  0.02929688 ...  0.11425781 -0.0625
  -0.00415039]]",[[4.34375    0.390625   2.375      ... 2.0625     0.60546875 0.26757812]]
" This House has an area of 4640 sqft. It has 4 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",5740000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12890625  0.0612793   0.06542969 ...  0.1171875  -0.06542969
  -0.02416992]]","[[ 4.1875     -0.5390625   2.03125    ...  2.4375      0.921875
  -0.03051758]]"
" This House has an area of 5000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",5740000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13476562  0.07324219  0.06176758 ...  0.13085938 -0.06152344
  -0.00201416]]","[[ 4.09375    -0.03125     2.125      ...  2.578125    1.046875
   0.10986328]]"
" This House has an area of 6360 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",5740000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1484375   0.04492188  0.06835938 ...  0.08935547 -0.08837891
  -0.02514648]]","[[ 4.03125    -1.2421875   2.28125    ...  2.25        0.48046875
  -0.04248047]]"
" This House has an area of 5800 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",5740000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12792969  0.07177734  0.04443359 ...  0.11669922 -0.06347656
  -0.01098633]]","[[ 4.375      -0.02685547  2.15625    ...  2.359375    0.83984375
   0.1171875 ]]"
" This House has an area of 6660 sqft. It has 4 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",5652500,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13867188  0.04443359  0.07910156 ...  0.10253906 -0.08935547
  -0.03295898]]","[[ 4.         -1.2890625   2.03125    ...  2.640625    0.84375
  -0.24121094]]"
" This House has an area of 10500 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",5600000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12988281  0.06542969  0.06542969 ...  0.12255859 -0.07128906
  -0.02526855]]","[[ 4.15625    -0.28125     2.15625    ...  2.515625    0.8515625
   0.17773438]]"
" This House has an area of 4800 sqft. It has 5 bedrooms and 2 bathrooms . It is a 3 storey house . It also comes with a basement. The house is unfurnished and comes with facilities like hot water heating,  along with 0 parking slots. What is the price of this house?",5600000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1484375   0.05908203  0.0234375  ...  0.09375    -0.06054688
   0.00048828]]",[[4.46875    0.15136719 2.734375   ... 1.59375    0.23242188 0.2578125 ]]
" This House has an area of 4700 sqft. It has 4 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",5600000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.15039062  0.04638672  0.05566406 ...  0.10205078 -0.07128906
  -0.01672363]]","[[ 4.375      -0.18359375  2.453125   ...  2.          0.42578125
   0.265625  ]]"
" This House has an area of 5000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like ,  along with 0 parking slots. What is the price of this house?",5600000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13964844  0.05517578  0.06835938 ...  0.14550781 -0.06542969
  -0.03662109]]","[[ 4.3125      0.10009766  2.015625   ...  2.78125     0.84375
  -0.13867188]]"
" This House has an area of 10500 sqft. It has 2 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",5600000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12792969  0.05737305  0.06201172 ...  0.12304688 -0.07421875
  -0.01867676]]","[[ 4.21875    -0.49804688  2.140625   ...  2.421875    0.890625
   0.08007812]]"
" This House has an area of 5500 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",5600000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12988281  0.05639648  0.06835938 ...  0.13183594 -0.06542969
  -0.02172852]]","[[ 4.09375    -0.19433594  2.078125   ...  2.515625    0.87890625
   0.19921875]]"
" This House has an area of 6360 sqft. It has 3 bedrooms and 1 bathrooms . It is a 3 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",5600000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.04296875  0.07763672 ...  0.13476562 -0.07617188
  -0.0456543 ]]",[[ 3.734375  -1.359375   1.6640625 ...  2.859375   1.21875   -0.375    ]]
" This House has an area of 6600 sqft. It has 4 bedrooms and 2 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",5600000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.01757812  0.09082031 ...  0.14160156 -0.078125
  -0.03491211]]","[[ 3.546875   -1.5         1.703125   ...  2.84375     1.109375
  -0.32421875]]"
" This House has an area of 5136 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",5600000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14257812  0.04150391  0.06933594 ...  0.09765625 -0.08691406
  -0.04052734]]","[[ 3.96875    -1.3671875   1.8828125  ...  2.875       0.87109375
  -0.10742188]]"
" This House has an area of 4400 sqft. It has 4 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",5565000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13671875  0.05249023  0.06445312 ...  0.109375   -0.06933594
  -0.02160645]]","[[ 3.75       -0.80078125  2.         ...  2.4375      0.90625
  -0.03613281]]"
